,City,Country,Lat,Long,Max Temp,Humidity,Wind Speed,Cloud Cover
339,Saint Anthony,US,45.02,-93.22,12.0,43,3.1,Clear
340,Porto Belo,BR,-27.16,-48.55,17.0,82,3.1,Clouds
341,Porto Belo,BR,-27.16,-48.55,17.0,82,3.1,Clouds
342,Morros,BR,-9.45,-46.3,22.44,78,1.84,Clouds
343,Morros,BR,-9.45,-46.3,22.44,78,1.84,Clouds
344,Ribeira Grande,PT,38.52,-28.7,15.61,76,11.66,Rain
345,Ribeira Grande,PT,38.52,-28.7,15.61,76,11.66,Rain
346,Stanley,GB,54.87,-1.7,8.33,93,1.5,Haze
347,Stanley,GB,54.87,-1.7,8.33,93,1.5,Haze
348,Richards Bay,ZA,-28.78,32.04,20.06,82,4.36,Rain
349,Richards Bay,ZA,-28.78,32.04,20.06,82,4.36,Rain
350,Waipawa,NZ,-41.41,175.52,18.0,72,8.2,Clouds
351,Waipawa,NZ,-41.41,175.52,18.0,72,8.2,Clouds
352,San Patricio,MX,19.22,-104.7,22.43,83,2.51,Clear
353,San Patricio,MX,19.22,-104.7,22.43,83,2.51,Clear
354,Callaguip,PH,18.07,120.49,32.0,62,2.6,Clouds
355,Callaguip,PH,18.07,120.49,32.0,62,2.6,Clouds
356,Tiksi,RU,71.69,128.87,-4.2,93,3.91,Clouds
357,Tiksi,RU,71.69,128.87,-4.2,93,3.91,Clouds
358,Norman Wells,CA,65.28,-126.83,0.0,93,5.1,Clouds
359,Norman Wells,CA,65.28,-126.83,0.0,93,5.1,Clouds
360,Thompson,CA,55.74,-97.86,2.0,43,2.6,Clouds
361,Thompson,CA,55.74,-97.86,2.0,43,2.6,Clouds
362,Sloboda,RU,51.14,40.3,13.33,80,5.96,Clouds
363,Sloboda,RU,51.14,40.3,13.33,80,5.96,Clouds
364,Padang,ID,-0.95,100.35,30.68,59,1.97,Clear
365,Padang,ID,-0.95,100.35,30.68,59,1.97,Clear
366,Faya,SA,18.39,42.45,20.0,48,1.06,Clouds
367,Faya,SA,18.39,42.45,20.0,48,1.06,Clouds
368,Pangnirtung,CA,66.15,-65.71,-13.07,90,0.74,Clouds
369,Pangnirtung,CA,66.15,-65.71,-13.07,90,0.74,Clouds
370,Simbahan,PH,6.3,120.58,29.06,68,1.49,Clouds
371,Simbahan,PH,6.3,120.58,29.06,68,1.49,Clouds
372,Iranshahr,IR,27.2,60.68,24.0,38,2.1,Clear
373,Iranshahr,IR,27.2,60.68,24.0,38,2.1,Clear
374,Ancud,CL,-41.87,-73.82,11.67,100,2.1,Clouds
375,Ancud,CL,-41.87,-73.82,11.67,100,2.1,Clouds
376,Kimbe,PG,-5.55,150.14,32.24,61,2.24,Rain
377,Kimbe,PG,-5.55,150.14,32.24,61,2.24,Rain
378,Pangoa,PE,-12.12,-73.0,20.53,79,0.6,Rain
379,Pangoa,PE,-12.12,-73.0,20.53,79,0.6,Rain
380,Cherskiy,RU,68.75,161.3,-0.79,97,1.66,Clouds
381,Cherskiy,RU,68.75,161.3,-0.79,97,1.66,Clouds
382,Palmer,US,42.16,-72.33,15.0,66,2.6,Clear
383,Palmer,US,42.16,-72.33,15.0,66,2.6,Clear
384,Yambio,SS,4.57,28.4,19.98,80,0.83,Rain
385,Yambio,SS,4.57,28.4,19.98,80,0.83,Rain
386,Bandarbeyla,SO,9.49,50.81,28.68,77,2.85,Rain
387,Bandarbeyla,SO,9.49,50.81,28.68,77,2.85,Rain
388,Tazmalt,DZ,36.39,4.4,15.0,82,3.1,Clouds
389,Tazmalt,DZ,36.39,4.4,15.0,82,3.1,Clouds
390,Antalaha,MG,-14.9,50.28,22.92,86,2.72,Clouds
391,Antalaha,MG,-14.9,50.28,22.92,86,2.72,Clouds
392,Arrondissement de Privas,FR,44.58,4.5,12.22,83,1.94,Clouds
393,Arrondissement de Privas,FR,44.58,4.5,12.22,82,1.94,Clouds
394,Ulaangom,MN,49.98,92.07,17.16,21,1.79,Clouds
